Cidade,ESCOLA_FUNDAMENTAL,Evadiu,N_FILHOS,CURSO,IDADE_INGRESSO,1CONCEITO,ETNIA,SEXO,IDADE,1ANOFALTA,ESTADO_CIVIL,TIPO_ESCOLA_ANTERIOR,CIDADE_ORIGEM,TIPO_CONCOMITANCIA,Forma_Ingresso
53,124,0,3,3,2,3,4,0,5,1.7333333333333334,0,2,0,0,3
2,168,0,0,9,2,2,4,0,5,1.9285714285714288,0,2,1,0,1
53,124,0,3,4,2,2,3,1,5,4.75,0,2,0,0,3
19,138,0,3,5,2,2,3,0,5,4.333333333333333,0,2,0,0,3
2,202,0,3,9,2,1,3,1,5,0.4,0,1,1,0,1
2,58,0,3,6,1,1,3,1,4,0.7333333333333333,0,1,1,0,1
19,130,0,3,2,1,1,3,1,4,2.0,0,2,0,0,3
24,74,0,3,7,1,1,3,1,4,1.6666666666666667,0,1,0,0,1
2,29,0,3,9,2,1,3,0,5,1.2666666666666666,0,1,1,0,1
2,46,0,3,2,3,1,3,0,6,1.8125,0,1,1,0,1
2,74,1,3,8,3,5,3,0,6,18.294117647058822,0,1,1,0,1
12,78,0,3,5,1,1,3,1,4,2.2666666666666666,0,1,0,0,1
2,189,0,3,9,2,2,3,1,5,2.4615384615384617,0,2,1,0,3
2,189,0,3,0,3,1,3,0,6,2.75,0,2,1,0,3
2,146,1,3,2,2,4,3,1,5,3.5,0,2,1,0,3
2,157,0,3,8,3,2,3,1,6,2.888888888888889,0,2,1,0,3
2,133,0,3,7,2,1,3,1,5,0.8,0,2,1,0,3
12,81,0,3,1,2,2,3,1,5,4.230769230769232,0,1,0,0,1
2,89,1,3,6,1,3,3,1,4,4.4,0,1,1,0,3
12,169,0,3,11,2,2,3,0,5,2.0,0,2,0,0,3
2,187,0,3,2,1,2,3,0,4,1.3076923076923077,0,2,1,0,7
2,81,0,3,3,1,1,3,0,4,2.466666666666667,0,1,1,0,1
2,162,0,3,1,2,2,3,0,5,2.357142857142857,0,2,1,0,3
3,216,0,3,0,2,2,3,1,5,5.928571428571429,0,2,0,0,3
19,90,1,3,2,3,4,3,1,6,4.125,0,2,0,0,3
2,81,0,3,7,2,2,3,1,5,2.0,0,1,1,0,1
2,199,1,3,5,3,5,3,0,6,50.714285714285715,0,1,1,0,1
2,187,1,3,6,3,2,3,1,6,3.1333333333333333,0,2,1,0,3
2,46,0,3,6,1,1,3,1,4,2.333333333333333,0,1,1,0,1
2,78,0,3,6,1,2,3,1,4,2.1538461538461537,0,1,1,0,1
2,12,0,3,9,1,1,3,0,4,1.1428571428571428,0,1,1,0,1
2,88,0,3,1,1,2,3,1,4,1.5714285714285714,0,1,1,0,1
2,204,1,3,11,2,5,3,0,5,39.153846153846146,0,1,1,0,1
2,58,0,3,1,2,2,3,1,5,2.9230769230769242,0,1,1,0,1
2,84,1,3,8,3,5,3,1,6,41.058823529411775,0,1,1,0,1
2,54,1,3,2,3,4,3,1,6,9.642857142857142,0,1,1,0,1
2,189,0,3,9,2,2,3,0,5,1.6,0,2,1,0,3
2,18,0,3,2,1,1,3,0,4,1.3125,0,1,1,0,1
12,207,0,3,0,2,1,3,0,5,1.5714285714285714,0,1,0,0,1
50,128,0,3,7,1,1,3,1,4,0.8,0,2,0,0,3
12,174,0,3,4,1,1,3,0,4,4.8125,0,2,0,0,3
19,138,0,3,3,2,2,3,0,5,2.1333333333333333,0,2,0,0,3
12,174,0,3,1,1,1,3,1,4,0.7142857142857143,0,2,0,0,3
2,77,1,3,0,2,2,3,1,5,3.466666666666667,0,1,1,0,1
2,170,1,3,2,3,4,3,0,6,5.571428571428571,0,2,1,0,3
2,202,0,3,2,3,2,3,1,6,2.333333333333333,0,1,1,0,1
2,29,0,3,0,2,1,3,0,5,1.2857142857142858,0,1,1,0,1
